player_id,player_name,position,mean,std,p10,p25,p50,p75,p90,risk_adjusted_0.5,risk_adjusted_1.0,p_positive,realized_career_vorp,anchor_season,inside_50,inside_80
00-0027125,Z.Miller,TE,98.63671547593036,129.6743103792272,0.0,0.0,0.0,227.96667453650699,310.91576067952514,-64.8371551896136,-129.6743103792272,0.464,0.0,2017,true,true
00-0027139,J.Phillips,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027215,L.Paulsen,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027321,J.Cumberland,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027325,L.Blount,RB,54.53100398873719,112.19592373911426,0.0,0.0,0.0,16.8028737234092,247.6099162697346,-56.09796186955713,-112.19592373911426,0.322,0.0,2017,true,true
00-0027531,C.Ivory,RB,60.85332508317549,112.97013889679738,0.0,0.0,0.0,64.10739425356765,263.69632036889476,-56.48506944839869,-112.97013889679738,0.375,0.0,2017,true,true
00-0027654,A.Benn,WR,1.57785654805855,6.408803919741072,0.0,0.0,0.0,0.0,0.0,-3.204401959870536,-6.408803919741072,0.095,0.0,2017,true,true
00-0027656,R.Gronkowski,TE,238.64751792420026,197.7963066842329,0.0,0.0,320.476940096503,418.6118962323712,467.69277450023753,221.57878675438653,122.68063341227008,0.665,142.24666864397997,2017,true,true
00-0027675,E.Dickson,TE,9.917673362600645,28.761238519793576,0.0,0.0,0.0,0.0,34.83710479653454,-14.380619259896788,-28.761238519793576,0.197,0.0,2017,true,true
00-0027681,B.LaFell,WR,22.538205662154212,56.32955995023996,0.0,0.0,0.0,0.0,102.74659988974064,-28.16477997511998,-56.32955995023996,0.212,0.0,2017,true,true
00-0027685,E.Sanders,WR,63.84906811072829,96.56335814226092,0.0,0.0,8.0808853954127,104.92677905027746,235.06793350892133,-40.20079367571776,-88.48247274684823,0.546,117.05851537122868,2017,false,true
00-0027690,E.Decker,WR,22.201585679248947,56.152170970098794,0.0,0.0,0.0,0.0,112.58028758208299,-28.076085485049397,-56.152170970098794,0.186,0.0,2017,true,true
00-0027691,A.Roberts,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027696,J.Graham,TE,102.68710658622159,124.60782949244243,0.0,0.0,26.677298413249794,204.2956791775817,307.6159798745936,-35.62661633297142,-97.93053107919263,0.552,95.36631873099367,2017,true,true
00-0027732,M.Hoomanawanui,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027793,A.Brown,WR,338.761346345738,274.8548367621225,0.0,0.0,474.839782514895,571.7533216574859,663.0619058186064,337.41236413383376,199.9849457527725,0.689,166.33043478260873,2017,true,true
00-0027796,J.Webb,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027854,S.Bradford,QB,94.33957054574496,140.1837494974077,0.0,0.0,0.0,201.64023706088483,324.22304618770846,-70.09187474870384,-140.1837494974077,0.407,0.0,2017,true,true
00-0027861,C.Spiller,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0027873,J.Gresham,TE,34.784306763712564,61.53779783783416,0.0,0.0,0.0,45.988967376711756,142.0183514031855,-30.76889891891708,-61.53779783783416,0.361,0.0,2017,true,true
00-0027874,D. Thomas,WR,108.21362553918628,122.8179082578722,0.0,0.0,72.9438343969621,194.67340040069203,305.1935363824283,11.534880268026,-49.8740738609101,0.573,21.11304347826085,2017,true,true
00-0027891,G.Tate,WR,172.166886987615,158.69746369685254,0.0,0.0,188.2580313781057,325.28286241555827,386.3438661419696,108.90929952967943,29.56056768125316,0.637,57.95992438563326,2017,true,true
00-0027902,D.Bryant,WR,115.48314530130774,148.92176231699082,0.0,0.0,70.38217140889833,159.93667828249488,378.2198973459627,-4.078709749597081,-78.53959090809249,0.597,0.0,2017,true,true
00-0027939,C.Newton,QB,383.3358666467683,267.893627922548,0.0,160.21028845653967,392.5224367996509,574.6407902630442,758.4883792921571,258.57562283837694,124.62880887710293,0.825,134.4259390153695,2017,false,true
00-0027942,A.Green,WR,244.4807882493797,215.33481500319905,0.0,0.0,264.2497135071575,424.1407747817832,551.9157035392012,156.58230600555794,48.914898503958426,0.671,32.341912729013984,2017,true,true
00-0027944,Ju.Jones,WR,261.95825680730286,230.13245612814828,0.0,0.0,314.7773508443769,487.2470955350502,545.012868431151,199.71112278030273,84.6448947162286,0.652,282.65787786635985,2017,true,true
00-0027948,B.Gabbert,QB,49.112204625412126,106.73992431306999,0.0,0.0,0.0,6.625459946931688,244.43986144999738,-53.369962156534996,-106.73992431306999,0.267,0.0,2017,true,true
00-0027966,M.Ingram,RB,195.23500342095855,209.33439620480618,0.0,0.0,174.68558724489122,303.9585883056393,542.1989872734176,70.01838914248813,-34.64880895991496,0.629,112.14744801512289,2017,true,true
00-0027973,A.Dalton,QB,260.68258436227853,203.74807117587693,0.0,19.23653339232411,274.0743687661848,444.50727984633784,523.8260162929201,172.20033317824635,70.32629759030789,0.772,2.0682552188408985,2017,false,true
00-0027981,K.Rudolph,TE,141.07668232175985,165.19807499431502,0.0,0.0,32.922955185391515,304.55002201795816,401.0823883340817,-49.676082311765995,-132.2751198089235,0.56,82.38563327032136,2017,true,true
00-0027985,L.Kendricks,TE,27.168467734609756,57.85773667547958,0.0,0.0,0.0,6.480576517063812,127.1741140829428,-28.92886833773979,-57.85773667547958,0.301,0.0,2017,true,true
00-0027994,S.Vereen,RB,51.560196075881564,99.80008143904246,0.0,0.0,0.0,46.941234895907954,239.5792585489979,-49.90004071952123,-99.80008143904246,0.364,0.0,2017,true,true
00-0027996,T.Smith,WR,38.71068956475578,98.26275511400091,0.0,0.0,0.0,0.0,190.63529783004216,-49.131377557000455,-98.26275511400091,0.185,0.0,2017,true,true
00-0028002,R.Cobb,WR,105.70284334845722,129.10470799503202,0.0,0.0,14.00878196820198,236.66986019046823,311.5278026316555,-50.54357202931403,-115.09592602683003,0.541,17.84499054820416,2017,true,true
00-0028009,D.Murray,RB,153.72677660893518,143.9906083822256,0.0,0.0,174.76619179694768,285.37248405656425,346.5179878999126,102.77088760583489,30.775583414722092,0.615,0.0,2017,true,true
00-0028011,S.Ridley,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0028012,R.Mallett,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
